Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.554599427692637,5.0,24559.272225258734,5473.534887610131,378.99999999999994,0.03365670996968477,-0.009889766122349954,-0.005799696646643625,-0.00699260741311725,-1.058067902194768e-05,-1.8342389956498118e-05,1019.3598367661572,981.9055372195062,3.6051673153630444
3.55296818608712,5.0,24607.860622492382,5439.2172821780605,379.9999999999999,0.03367137924130739,-0.009920623003337462,-0.005799696646643625,-0.0072348674687639815,-1.058067902194768e-05,-1.8342389956509525e-05,1023.277803603082,978.2148679260877,3.603823859965784
3.551477487148074,5.0,24652.797812667886,5407.468157113106,380.9999999999999,0.033689629361458986,-0.009948157851197022,-0.005799696646643625,-0.007442324977773109,-1.058067902194768e-05,-1.8342389956498118e-05,1026.630870021173,975.0530673877468,3.602586403503759
3.5501050329454857,5.0,24694.987554803574,5377.6549434062,381.9999999999999,0.03371138504666711,-0.009972914958415116,-0.005799696646643625,-0.007620103883469523,-1.058067902194768e-05,-1.834238995650382e-05,1029.502880519617,972.3429574302534,3.6014382409992933
3.5488370260275635,5.0,24734.943115337945,5349.417006655269,382.9999999999999,0.03373626801358648,-0.009995299063451615,-0.005799696646643625,-0.007772483496431656,-1.058067902194768e-05,-1.8342389956498118e-05,1031.963646761399,970.0197767376286,3.6003698807662885
3.547663331544012,5.0,24772.987299849847,5322.526888674889,383.9999999999999,0.03376381771258334,-0.010015631047384418,-0.005799696646643625,-0.00790307541478932,-1.058067902194768e-05,-1.8342389956498118e-05,1034.0719308049133,968.0286884715339,3.599374659884025
3.5465745928042223,5.0,24809.37358428433,5296.805936786838,384.9999999999999,0.03379361787727328,-0.010034185950902294,-0.005799696646643625,-0.008014979188775454,-1.058067902194768e-05,-1.8342389956498118e-05,1035.878071905524,966.3225396269519,3.598446179986429
3.545561871687335,5.0,24844.315809381842,5272.103491304957,385.9999999999999,0.033825312191755684,-0.010051204130968211,-0.005799696646643625,-0.008110868847171031,-1.058067902194768e-05,-1.8342389956498118e-05,1037.4254410173494,964.860602637579,3.5975780610224852
3.5446170429164403,5.0,24877.985959925136,5248.298319999761,386.9999999999999,0.033858583898174074,-0.010066892057959404,-0.005799696646643625,-0.0081930416086286,-1.058067902194768e-05,-1.8342389956498118e-05,1038.7512548207824,963.6078606126365,3.5967643646464578
3.54373287060567,5.0,24910.518466593938,5225.295539300808,387.9999999999999,0.03389314569523684,-0.010081425643095583,-0.005799696646643625,-0.008263469646924227,-1.058067902194768e-05,-1.8342389956498118e-05,1039.8874342945549,962.5342377233856,3.5959997157561823
3.542902872672039,5.0,24942.020212534408,5203.0196223855655,388.9999999999999,0.033928742205352164,-0.01009495466165595,-0.005799696646643625,-0.008323839967401119,-1.058067902194768e-05,-1.8342389956498118e-05,1040.861261751743,961.6139987717617,3.595279213671704
3.542121125881976,5.0,24972.581487100495,5181.4067544785485,389.9999999999999,0.033965154098948555,-0.010107608189073334,-0.005799696646643625,-0.008375598584331179,-1.058067902194768e-05,-1.834238995650382e-05,1041.696107266368,960.8250815339978,3.5945982909195844
3.541382436015572,5.0,25002.27248668148,5160.407268269919,390.9999999999999,0.034002192712122827,-0.010119492235157896,-0.005799696646643625,-0.008419942655449169,-1.058067902194768e-05,-1.834238995650382e-05,1042.4113008890163,960.1492120740742,3.5939528677835577
3.5406817743806527,5.0,25031.164779597122,5139.970595322974,391.9999999999999,0.03403970151373361,-0.010130705737695537,-0.005799696646643625,-0.008457954235289156,-1.058067902194768e-05,-1.8342389956498118e-05,1043.024323699592,959.5698885626638,3.5933389400326265
3.5400147261604933,5.0,25059.31603000978,5120.055946759052,392.9999999999999,0.03407754430079002,-0.010141331614326142,-0.005799696646643625,-0.008490545225236124,-1.058067902194768e-05,-1.8342389956498118e-05,1043.5498963379925,959.073199319101,3.5927529514661014
3.5393771431650856,5.0,25086.783003969595,5100.6231958036005,393.9999999999999,0.03411560676702982,-0.010151446369332134,-0.005799696646643625,-0.008518536482535186,-1.058067902194768e-05,-1.8342389956498118e-05,1044.0012758643186,958.646631055062,3.592191536949238
3.538765742204175,5.0,25113.601775704832,5081.646795773448,394.9999999999999,0.034153804996300025,-0.010161100015374687,-0.005799696646643625,-0.00854248071560783,-1.058067902194768e-05,-1.8342389956498118e-05,1044.3873740880638,958.2817459268955,3.5916519320967133
3.538176780339403,5.0,25139.829486159935,5063.0863696603465,395.99999999999983,0.0341920437005656,-0.01017036583396433,-0.005799696646643625,-0.008563135786966868,-1.058067902194768e-05,-1.8342389956498118e-05,1044.7204364465736,957.9670038921907,3.5911311298261555
3.5376077571981988,5.0,25165.490117367634,5044.924895597878,396.99999999999983,0.03423026809371554,-0.010179275742984778,-0.005799696646643625,-0.00858085585235728,-1.058067902194768e-05,-1.834238995650382e-05,1045.006164958912,957.6969938827862,3.5906269610525117
3.5370565041231443,5.0,25190.602601634797,5027.148910128271,397.9999999999999,0.03426843383490601,-0.010187854301771784,-0.005799696646643625,-0.008595917333058157,-1.058067902194768e-05,-1.834238995650382e-05,1045.2490046878918,957.4674887148525,3.590137513758136
3.5365203591586245,5.0,25215.20823612123,5009.729233028784,398.9999999999999,0.03430648740711221,-0.010196149350984335,-0.005799696646643625,-0.008608799929228462,-1.058067902194768e-05,-1.8342389956498118e-05,1045.456705779318,957.2711864786988,3.589660600011205
